cod_mpio,municipio,enfermedad,casos_predichos,indice_vulnerabilidad,vulnerabilidad,nivel_alerta,explicacion
52621,ROBERTO PAYÁN,Dengue,1.5504431460854202,8.76,Alto,MEDIO,Municipio en MEDIO: se prevén 1.55 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (8.8/10).
52621,ROBERTO PAYÁN,Malaria,19.245570045886687,8.76,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 19.25 casos de Malaria (predicción Alta) y la zona tiene vulnerabilidad alta (8.8/10).
52678,SAMANIEGO,Dengue,1.2677075258427704,3.61,Bajo,BAJO,Municipio en BAJO: se prevén 1.27 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.6/10).
52786,TAMINANGO,Dengue,1.5092625345928332,4.41,Bajo,BAJO,Municipio en BAJO: se prevén 1.51 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.4/10).
52835,SAN ANDRÉS DE TUMACO,Dengue,3.089483510966863,6.07,Medio,ALTO,Municipio en ALTO: se prevén 3.09 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad media (6.1/10).
52835,SAN ANDRÉS DE TUMACO,Malaria,49.8693737450346,6.07,Medio,CRÍTICO,Municipio en CRÍTICO: se prevén 49.87 casos de Malaria (predicción Alta) y la zona tiene vulnerabilidad media (6.1/10).
54001,SAN JOSÉ DE CÚCUTA,Dengue,56.85659364941532,5.74,Medio,CRÍTICO,Municipio en CRÍTICO: se prevén 56.86 casos de Dengue (predicción Alta) y la zona tiene vulnerabilidad media (5.7/10).
54001,SAN JOSÉ DE CÚCUTA,Malaria,1.222532532924868,5.74,Medio,BAJO,Municipio en BAJO: se prevén 1.22 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad media (5.7/10).
54003,ÁBREGO,Dengue,1.3845181563130624,4.95,Medio,BAJO,Municipio en BAJO: se prevén 1.38 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (5.0/10).
54051,ARBOLEDAS,Dengue,1.610975654153032,6.26,Medio,BAJO,Municipio en BAJO: se prevén 1.61 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (6.3/10).
